word,reading,meanings,level
アイスクリーム,,ice cream,N3
あいにく,,unfortunately; Sorry; but....,N3
アイロン,,(electric) iron,N3
アウト,,out,N3
あした,,tomorrow,N3
あちこち,,here and there,N3
あっ,,Ah!; Oh!,N3
あと,,(1) trace; tracks; (2) remains; ruins; (3) scar,N3
あらゆる,,all; every,N3
ありがとう,,(conj; exp; int) Thank you,N3
あるいは,,or; possibly,N3
アルバム,,album,N3
あんなに,,to that extent; to that degree,N3
あんまり,,not very; not much; remainder; rest,N3
いい,,good,N3
いえ,いえ,TODO same as いいえ?,N3
いけない,,must not do; bad; wrong; not good,N3
いずれ,,where; which; who,N3
いたずら,,tease; prank; trick; practical joke,N3
いただきます,,expression of gratitude before meals,N3
いち,,market; fair,N3
いつか,,sometime; someday; one day,N3
いつでも,,(at) any time; always; at all times; never (neg),N3
いつまでも,,forever; for good; eternally; as long as one likes; indefinitely,N3
いつも,いつも,always; usually; every time; never (with neg. verb),N3
いらいら,,getting nervous; irritation,N3
いらっしゃい,,welcome,N3
いわゆる,,the so-called; so to speak,N3
インク,,ink,N3
ウイスキー,,whisky,N3
うがい,,gargle; rinse mouth,N3
うなる,,to groan; to moan,N3
うまい,うまい,delicious,N3
うるさい,,noisy; loud; fussy,N3
うん,（感）,fortune; luck,N3
エネルギー,,(n) energy (de: Energie),N3
エンジン,,engine,N3
オーバー,,(1) overcoat; (2) over,N3
おじいさん,,grandfather; male senior-citizen,N3
おしゃべり,,chattering; talk; idle talk,N3
おそらく,,perhaps,N3
オフィス,,office,N3
おまえ,,(fam) you (sing); presence (of a high personage),N3
おめでとう,,Congratulations!; an auspicious occasion!,N3
おや,,parents,N3
およそ,,about; roughly; as a rule; approximately,N3
お互い,おたがい,mutual; reciprocal; each other,N3
お昼,おひる,lunch; noon,N3
お腹,おなか,stomach,N3
カー,,car,N3
カード,,card; curd,N3
がっかり,,feel disappointed; be dejected; lose heart,N3
かなり,,considerably; fairly; quite,N3
かもしれない,,may; might; perhaps; may be; possibly,N3
かわいそう,,poor; pitiable; pathetic,N3
かわいらしい,,lovely; sweet,N3
きちんと,,precisely; accurately,N3
きつい,,tight; close; intense,N3
キャプテン,,captain,N3
キャンプ,,camp,N3
キロ,,(abbr) kilo-; kilogram; kilometre; 10^3,N3
ぐっすり,,sound asleep; fast asleep,N3
クラシック,,classic(s),N3
グラス,,(1) glass; (2) grass,N3
グランド,,gland; grand; (electrical) ground,N3
クリーム,,cream,N3
クリスマス,,Christmas,N3
グループ,,group,N3
ケース,,case,N3
ゲーム,,game,N3
けち,,stinginess; miser; miserliness,N3
コーチ,,coach,N3
コード,,code; cord; chord,N3
ゴール,,goal,N3
ここ,ここ,here,N3
この,この,this,N3
コピー,,(1) a (photo)copy; (2) blurb on a book jacket,N3
ごめんなさい,,I beg your pardon; excuse me,N3
これら,,these,N3
こんなに,,so; like this; in this way,N3
こんにちは,,hello; good day (daytime greeting; id),N3
コンピューター,,computer,N3
サービス,,(1) service; support system; (2) goods or services without charge,N3
サイン,,(1) autograph; (2) sign; (3) sine,N3
ざっと,,roughly; in round numbers,N3
さっぱり,,feeling refreshed; feeling relieved; neat; trimmed,N3
さて,,well; now; then,N3
ジーンズ,,jeans,N3
ジェット機,ジェットき,jet aeroplane,N3
しかも,,moreover; furthermore; nevertheless; and yet,N3
しきりに,,frequently; repeatedly; incessantly; eagerly,N3
したがって,したがって,therefore; consequently; in accordance with,N3
じっと,,fixedly; firmly; patiently; quietly,N3
しばしば,,often; again and again; frequently,N3
しまい,（終わり）,sisters,N3
しまう,（終わる）,to finish; to close; to do something completely,N3
しまった,（感）,Damn it!,N3
じゃあ,,well; well then,N3
しゃべる,,to talk; to chat; to chatter,N3
ジュース,,juice; soft drink; deuce,N3
スイッチ,,switch,N3
スープ,,(Western) soup,N3
スキー,,skiing,N3
スケート,,skate(s); skating,N3
すごい,,terrible; dreadful; terrific; amazing; great,N3
スター,,star,N3
スタイル,,style,N3
スタンド,,stand,N3
ずっと,,consecutively; throughout; a lot,N3
すてき,,lovely; dreamy; beautiful; great,N3
すなわち,,that is; namely; i.e.,N3
スピーチ,,speech,N3
すみません,（感）,sorry; excuse me,N3
すると,すると,thereupon; hereupon,N3
セット,,set,N3
センター,,a center,N3
そう,そう,so,N3
そこ,そこ,bottom; sole,N3
そこで,,so (conj); accordingly; now; then; thereupon,N3
そして,,and,N3
そっくり,,all; altogether; entirely; be just like; the splitting image of,N3
そっと,,face of the earth,N3
その,その,the; that,N3
そのうち,,eventually; sooner or later; of the previously mentioned,N3
そのまま,,without change; as it is (i.e. now),N3
ソファー,,sofa; couch,N3
それ,（接。感）,it; that,N3
それぞれ,,each; every; either; respectively; severally,N3
それでも,,but (still); and yet; nevertheless; even so; notwithstanding,N3
それとも,,or; or else,N3
タイプライター,,typewriter,N3
